광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,3976038.0,6.2,695664.0,10.2
강원특별자치도,원주시,3976038.0,6.2,779944.0,11.5
강원특별자치도,강릉시,3976038.0,6.2,830991.0,12.2
강원특별자치도,동해시,3976038.0,6.2,323211.0,4.8
강원특별자치도,태백시,3976038.0,6.2,157412.0,2.3
강원특별자치도,속초시,3976038.0,6.2,619888.0,9.1
강원특별자치도,삼척시,3976038.0,6.2,335800.0,4.9
강원특별자치도,홍천군,3976038.0,6.2,553798.0,8.1
강원특별자치도,횡성군,3976038.0,6.2,294315.0,4.3
강원특별자치도,영월군,3976038.0,6.2,213311.0,3.1
강원특별자치도,평창군,3976038.0,6.2,459084.0,6.7
강원특별자치도,정선군,3976038.0,6.2,259581.0,3.8
강원특별자치도,철원군,3976038.0,6.2,194674.0,2.9
강원특별자치도,화천군,3976038.0,6.2,98970.0,1.5
강원특별자치도,양구군,3976038.0,6.2,73518.0,1.1
강원특별자치도,인제군,3976038.0,6.2,219986.0,3.2
강원특별자치도,고성군,3976038.0,6.2,312200.0,4.6
강원특별자치도,양양군,3976038.0,6.2,380180.0,5.6
경기도,수원시,1.163925E7,18.2,2806276.0,8.7
경기도,성남시,1.163925E7,18.2,2045841.0,6.4
경기도,의정부시,1.163925E7,18.2,817288.0,2.5
경기도,안양시,1.163925E7,18.2,1055271.0,3.3
경기도,부천시,1.163925E7,18.2,1638998.0,5.1
경기도,광명시,1.163925E7,18.2,683340.0,2.1
경기도,평택시,1.163925E7,18.2,820152.0,2.6
경기도,동두천시,1.163925E7,18.2,221582.0,0.7
경기도,안산시,1.163925E7,18.2,1431042.0,4.5
경기도,고양시,1.163925E7,18.2,2343554.0,7.3
경기도,과천시,1.163925E7,18.2,298238.0,0.9
경기도,구리시,1.163925E7,18.2,812231.0,2.5
경기도,남양주시,1.163925E7,18.2,1464554.0,4.6
경기도,오산시,1.163925E7,18.2,477680.0,1.5
경기도,시흥시,1.163925E7,18.2,1056514.0,3.3
경기도,군포시,1.163925E7,18.2,432660.0,1.3
경기도,의왕시,1.163925E7,18.2,522680.0,1.6
경기도,하남시,1.163925E7,18.2,936859.0,2.9
경기도,용인시,1.163925E7,18.2,2369374.0,7.4
경기도,파주시,1.163925E7,18.2,1140125.0,3.5
경기도,이천시,1.163925E7,18.2,755800.0,2.4
경기도,안성시,1.163925E7,18.2,752812.0,2.3
경기도,김포시,1.163925E7,18.2,981813.0,3.1
경기도,화성시,1.163925E7,18.2,1630615.0,5.1
경기도,광주시,1.163925E7,18.2,969272.0,3.0
경기도,양주시,1.163925E7,18.2,741730.0,2.3
경기도,포천시,1.163925E7,18.2,684198.0,2.1
경기도,여주시,1.163925E7,18.2,584031.0,1.8
경기도,연천군,1.163925E7,18.2,240282.0,0.7
경기도,가평군,1.163925E7,18.2,637920.0,2.0
경기도,양평군,1.163925E7,18.2,795571.0,2.5
경상남도,창원시,4319304.0,6.8,2239146.0,25.3
경상남도,진주시,4319304.0,6.8,564596.0,6.4
경상남도,통영시,4319304.0,6.8,422978.0,4.8
경상남도,사천시,4319304.0,6.8,412762.0,4.7
경상남도,김해시,4319304.0,6.8,960698.0,10.9
경상남도,밀양시,4319304.0,6.8,413966.0,4.7
경상남도,거제시,4319304.0,6.8,626986.0,7.1
경상남도,양산시,4319304.0,6.8,757701.0,8.6
경상남도,의령군,4319304.0,6.8,139864.0,1.6
경상남도,함안군,4319304.0,6.8,242298.0,2.7
경상남도,창녕군,4319304.0,6.8,262696.0,3.0
경상남도,고성군,4319304.0,6.8,312330.0,3.5
경상남도,남해군,4319304.0,6.8,299436.0,3.4
경상남도,하동군,4319304.0,6.8,236554.0,2.7
경상남도,산청군,4319304.0,6.8,225309.0,2.5
경상남도,함양군,4319304.0,6.8,264330.0,3.0
경상남도,거창군,4319304.0,6.8,224696.0,2.5
경상남도,합천군,4319304.0,6.8,247639.0,2.8
경상북도,포항시,5444033.0,8.5,1200465.0,13.3
경상북도,경주시,5444033.0,8.5,1201372.0,13.3
경상북도,김천시,5444033.0,8.5,430020.0,4.8
경상북도,안동시,5444033.0,8.5,546948.0,6.1
경상북도,구미시,5444033.0,8.5,592890.0,6.6
경상북도,영주시,5444033.0,8.5,321643.0,3.6
경상북도,영천시,5444033.0,8.5,440640.0,4.9
경상북도,상주시,5444033.0,8.5,452368.0,5.0
경상북도,문경시,5444033.0,8.5,411061.0,4.6
